2,Tuesday,11AM,3PM,17MFF-0181,332 PINE ST,"Truck located approximately 30 linear feet East of Leidesdorff St and Pine St intersection --- Sandwiches, Meatloaf, Salad, Mac & Cheese, Fries, Mashed Potatos, Seasonal Vegetables","Meatloaf, Grilled Cheese, Chicken Sandwich, Caprese Salad, Kale Salad, Fries, Sweet Potato Fries, Mac and Cheese, Mashed Potatoes",963319,,11:00,15:00,10456000,04/17/2017 12:58:01 PM,11/13/2017 01:36:29 PM,0260,006,N,Serendipity SF,6012258.12944,2116462.30609,37.792092176008616,-122.40149503841772,"(37.7920921760086, -122.401495038418)"
6,Saturday,11AM,3PM,17MFF-0181,400 CALIFORNIA ST,"Truck located approximately 30 linear feet East of Leidesdorff St and California St intersection --- Sandwiches, Meatloaf, Salad, Mac & Cheese, Fries, Mashed Potatos, Seasonal Vegetables","Meatloaf, Grilled Cheese, Chicken Sandwich, Caprese Salad, Kale Salad, Fries, Sweet Potato Fries, Mac and Cheese, Mashed Potatoes",1022810,,11:00,15:00,3528000,09/27/2017 04:54:48 PM,11/13/2017 01:43:20 PM,0239,003,N,Serendipity SF,6012361.8054,2116831.37598,37.793111338624819,-122.40116226158767,"(37.7931113386248, -122.401162261588)"
3,Wednesday,11AM,3PM,17MFF-0181,400 CALIFORNIA ST,"Truck located approximately 30 linear feet East of Leidesdorff St and California St intersection --- Sandwiches, Meatloaf, Salad, Mac & Cheese, Fries, Mashed Potatos, Seasonal Vegetables","Meatloaf, Grilled Cheese, Chicken Sandwich, Caprese Salad, Kale Salad, Fries, Sweet Potato Fries, Mac and Cheese, Mashed Potatoes",1022810,,11:00,15:00,3528000,09/27/2017 04:54:48 PM,11/13/2017 01:43:20 PM,0239,003,N,Serendipity SF,6012361.8054,2116831.37598,37.793111338624819,-122.40116226158767,"(37.7931113386248, -122.401162261588)"
4,Thursday,11AM,3PM,17MFF-0181,332 PINE ST,"Truck located approximately 30 linear feet East of Leidesdorff St and Pine St intersection --- Sandwiches, Meatloaf, Salad, Mac & Cheese, Fries, Mashed Potatos, Seasonal Vegetables","Meatloaf, Grilled Cheese, Chicken Sandwich, Caprese Salad, Kale Salad, Fries, Sweet Potato Fries, Mac and Cheese, Mashed Potatoes",963319,,11:00,15:00,10456000,04/17/2017 12:58:01 PM,11/13/2017 01:36:29 PM,0260,006,N,Serendipity SF,6012258.12944,2116462.30609,37.792092176008616,-122.40149503841772,"(37.7920921760086, -122.401495038418)"
1,Monday,12PM,1PM,17MFF-0197,1345 TURK ST,10:00am-10:15am & 12:00pm-12:15pm,"Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks",1037695,,12:00,13:00,12728000,08/09/2011 11:05:28 AM,08/09/2011 11:05:51 AM,0756,001,Y,Munch A Bunch,6003593.05269,2112440.56598,37.780562194780259,-122.43118910546622,"(37.7805621947803, -122.431189105466)"
1,Monday,10AM,11AM,17MFF-0197,1144 LARKIN ST,Set-up at 1180 Larkin St: 10:00am-10:15am,"Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks",1037691,,10:00,11:00,8137000,08/09/2011 10:50:25 AM,08/09/2011 10:50:44 AM,0279,012,Y,Munch A Bunch,6007320.10921,2115238.57752,37.788455354186787,-122.41849387706054,"(37.7884553541868, -122.418493877061)"
5,Friday,7AM,8AM,17MFF-0197,400 PARNASSUS AVE,Set-up at 500 Parnassus Ave - 7:00am-8:00am M-F,"Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks",1037688,,07:00,08:00,10293000,08/09/2011 10:43:50 AM,08/09/2011 10:44:07 AM,1756,001,Y,Munch A Bunch,5996069.5611,2106506.45626,37.76383946084772,-122.45678697566204,"(37.7638394608477, -122.456786975662)"
2,Tuesday,10AM,11AM,17MFF-0197,1144 LARKIN ST,Set-up at 1180 Larkin St: 10:00am-10:15am,"Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks",1037691,,10:00,11:00,8137000,08/09/2011 10:50:25 AM,08/09/2011 10:50:44 AM,0279,012,Y,Munch A Bunch,6007320.10921,2115238.57752,37.788455354186787,-122.41849387706054,"(37.7884553541868, -122.418493877061)"
5,Friday,10AM,11AM,17MFF-0197,1144 LARKIN ST,Set-up at 1180 Larkin St: 10:00am-10:15am,"Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks",1037691,,10:00,11:00,8137000,08/09/2011 10:50:25 AM,08/09/2011 10:50:44 AM,0279,012,Y,Munch A Bunch,6007320.10921,2115238.57752,37.788455354186787,-122.41849387706054,"(37.7884553541868, -122.418493877061)"
1,Monday,10AM,11AM,17MFF-0197,365 FULTON ST,10:00am-10:15am,"Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks",1037692,,10:00,11:00,5882000,08/09/2011 11:01:33 AM,08/09/2011 11:01:47 AM,0792,028,Y,Munch A Bunch,6006015.89062,2111737.13061,37.778767733234154,-122.42275734107024,"(37.7787677332342, -122.42275734107)"
